time_ms,cpu_usage,active_workers,queue_len
8043,280,8,669
8053,280,8,665
8064,280,8,665
8074,280,8,665
8085,280,8,665
8095,280,8,665
8105,280,8,665
8115,280,8,662
8125,280,8,662
8135,280,8,662
8145,280,8,662
8155,280,8,662
8165,280,8,662
8176,280,8,662
8186,280,8,662
8196,280,8,662
8207,280,8,662
8217,280,8,662
8228,280,8,662
8238,280,8,662
8248,280,8,662
8258,280,8,662
8268,280,8,662
8279,280,8,662
8289,280,8,662
8299,280,8,661
8309,280,8,661
8320,280,8,661
8330,280,8,661
8340,280,8,661
8350,280,8,661
8360,280,8,657
8370,280,8,657
8380,280,8,657
8390,280,8,657
8400,280,8,657
8410,280,8,654
8421,280,8,654
8431,280,8,654
8441,280,8,654
8452,280,8,654
8462,280,8,654
8472,280,8,654
8483,280,8,654
8493,280,8,654
8504,280,8,654
8514,280,8,654
8525,280,8,654
8535,280,8,654
8545,280,8,654
8555,280,8,654
8566,280,8,654
8576,280,8,654
8587,280,8,654
8597,280,8,653
8607,280,8,653
8617,280,8,653
8628,280,8,653
8638,280,8,653
8648,280,8,653
8658,280,8,649
8668,280,8,649
8678,280,8,649
8688,280,8,649
8698,280,8,649
8708,245,7,649
8718,280,8,646
8729,280,8,646
8739,280,8,646
8749,280,8,646
8759,280,8,646
8769,280,8,646
8780,280,8,646
8790,280,8,646
8800,280,8,646
8810,280,8,646
8820,280,8,646
8831,280,8,646
8841,280,8,646
8851,280,8,646
8861,280,8,646
8871,280,8,646
8881,280,8,646
8891,280,8,645
8901,280,8,645
8911,280,8,645
8921,280,8,645
8931,280,8,645
8942,280,8,645
8952,280,8,642
8963,280,8,641
8973,280,8,641
8984,280,8,641
8994,280,8,641
9005,280,8,641
9015,280,8,638
9026,280,8,638
9036,280,8,638
9047,280,8,638
9057,280,8,638
9068,280,8,638
9078,280,8,638
9088,280,8,638
9098,280,8,638
9108,280,8,638
9118,280,8,638
9129,280,8,638
9139,280,8,638
9149,280,8,638
9159,280,8,638
9170,280,8,638
9180,280,8,638
9190,280,8,638
9200,280,8,637
9210,280,8,637
9221,280,8,637
9231,280,8,637
9241,280,8,637
9251,280,8,636
9261,280,8,633
9271,280,8,633
9281,280,8,633
9292,280,8,633
9302,280,8,633
9313,280,8,630
9323,280,8,630
9333,280,8,630
9343,280,8,630
9353,280,8,630
9363,280,8,630
9373,280,8,630
9383,280,8,630
9393,280,8,630
9403,280,8,630
9413,280,8,630
9423,280,8,630
9434,280,8,630
9444,280,8,630
9454,280,8,630
9464,280,8,630
9474,280,8,630
9485,280,8,630
9495,280,8,629
9505,280,8,629
9515,280,8,629
9526,280,8,629
9536,280,8,629
9546,280,8,629
9557,280,8,625
9567,280,8,625
9577,280,8,625
9587,280,8,625
9597,280,8,625
9607,280,8,625
9617,280,8,622
9628,280,8,622
9638,280,8,622
9648,280,8,622
9659,280,8,622
9669,280,8,622
9679,280,8,622
9689,280,8,622
9700,280,8,622
9710,280,8,622
9720,280,8,622
9730,280,8,622
9740,280,8,622
9750,280,8,622
9760,280,8,622
9771,280,8,622
9781,280,8,622
9791,280,8,621
9801,280,8,621
9812,280,8,621
9822,280,8,621
9832,280,8,621
9843,280,8,621
9853,280,8,617
9863,280,8,617
9874,280,8,617
9884,280,8,617
9894,280,8,617
9905,280,8,617
9915,280,8,614
9926,280,8,614
9936,280,8,614
9946,280,8,614
9956,280,8,614
9966,280,8,614
9977,280,8,614
9987,280,8,614
9998,280,8,614
10008,280,8,614
10018,280,8,614
10029,280,8,614
10039,280,8,614
10049,280,8,614
10059,280,8,614
10069,280,8,614
10079,280,8,614
10090,280,8,614
10101,280,8,613
10111,280,8,613
10121,280,8,613
10131,280,8,613
10141,280,8,613
10151,245,7,613
10161,280,8,609
10171,280,8,609
10182,280,8,609
10192,280,8,609
10202,280,8,609
10213,280,8,606
10223,280,8,606
10233,280,8,606
10243,280,8,606
10253,280,8,606
10263,280,8,606
10274,280,8,606
10284,280,8,606
10294,280,8,606
10305,280,8,606
10315,280,8,606
10325,280,8,606
10335,280,8,606
10346,280,8,606
10356,280,8,606
10366,280,8,606
10377,280,8,606
10387,280,8,606
10397,280,8,605
10407,280,8,605
10417,280,8,605
10428,280,8,605
10438,280,8,605
10448,280,8,605
10458,280,8,601
10468,280,8,601
10479,280,8,601
10489,280,8,601
10500,280,8,601
10510,280,8,600
10521,280,8,598
10531,280,8,598
10541,280,8,598
10551,280,8,598
10562,280,8,598
10572,280,8,598
10582,280,8,598
10592,280,8,598
10603,280,8,598
10613,280,8,598
10624,280,8,598
10634,280,8,598
10644,280,8,598
10654,280,8,598
10664,280,8,598
10675,280,8,598
10685,280,8,598
10696,280,8,597
10706,280,8,597
10717,280,8,597
10727,280,8,597
10738,280,8,597
10748,280,8,597
10759,280,8,593
10769,280,8,593
10780,280,8,593
10790,280,8,593
10801,280,8,593
10811,245,7,591
10822,280,8,590
10832,280,8,590
10843,280,8,590
10853,280,8,590
10864,280,8,590
10874,280,8,590
10885,280,8,590
10895,280,8,590
10906,280,8,590
10916,280,8,590
10926,280,8,590
10937,280,8,590
10947,280,8,590
10957,280,8,590
10967,280,8,590
10978,280,8,590
10988,280,8,590
10998,280,8,589
11009,280,8,589
11019,280,8,589
11029,280,8,589
11039,280,8,589
11049,280,8,589
11060,280,8,585
11070,280,8,585
11081,280,8,585
11091,280,8,585
11101,280,8,585
11111,280,8,584
11122,280,8,582
11132,280,8,582
11142,280,8,582
11152,280,8,582
11162,280,8,582
11172,280,8,582
11182,280,8,582
11192,280,8,582
11203,280,8,582
11213,280,8,582
11223,280,8,582
11233,280,8,582
11243,280,8,582
11253,280,8,582
11263,280,8,582
11274,280,8,582
11284,280,8,582
11294,280,8,581
11304,280,8,581
11314,280,8,581
11324,280,8,581
11334,280,8,581
11344,280,8,581
11355,280,8,577
11365,280,8,577
11375,280,8,577
11385,280,8,577
11395,280,8,577
11405,280,8,577
11415,280,8,574
11426,280,8,574
11436,280,8,574
11446,280,8,574
11456,280,8,574
11466,280,8,574
11476,280,8,574
11487,280,8,574
11497,280,8,574
11507,280,8,574
11518,280,8,574
11528,280,8,574
11538,280,8,574
11549,280,8,574
11559,280,8,574
11570,280,8,574
11580,280,8,574
11590,280,8,574
11600,280,8,573
11610,280,8,573
11620,280,8,573
11630,280,8,573
11641,280,8,573
11651,280,8,573
11661,280,8,569
11671,280,8,569
11681,280,8,569
11691,280,8,569
11701,280,8,569
11711,280,8,568
11721,280,8,566
11731,280,8,566
11741,280,8,566
11752,280,8,566
11762,280,8,566
11772,280,8,566
11783,280,8,566
11793,280,8,566
11803,280,8,566
11814,280,8,566
11824,280,8,566
11834,280,8,566
11844,280,8,566
11854,280,8,566
11865,280,8,566
11875,280,8,566
11885,280,8,566
11895,280,8,565
11905,280,8,565
11915,280,8,565
11926,280,8,565
11936,280,8,565
11946,280,8,565
11957,280,8,561
11967,280,8,561
11977,280,8,561
11987,280,8,561
11998,280,8,561
12008,280,8,561
12019,280,8,558
12029,280,8,558
12040,280,8,558
12050,280,8,558
12060,280,8,558
12071,280,8,558
12081,280,8,558
12091,280,8,558
12101,280,8,558
12111,280,8,558
12121,280,8,558
12132,280,8,558
12142,280,8,558
12152,280,8,558
12162,280,8,558
12172,280,8,558
12183,280,8,558
12193,280,8,557
12203,280,8,557
12213,280,8,557
12223,280,8,557
12233,280,8,557
12244,280,8,557
12254,210,6,555
12264,280,8,553
12275,280,8,553
12285,280,8,553
12295,280,8,553
12305,280,8,553
12315,280,8,550
12325,280,8,550
12336,280,8,550
12346,280,8,550
12356,280,8,550
12366,280,8,550
12376,280,8,550
12386,280,8,550
12396,280,8,550
12406,280,8,550
12416,280,8,550
12426,280,8,550
12437,280,8,550
12447,280,8,550
12458,280,8,550
12468,280,8,550
12478,280,8,550
12488,280,8,550
12499,280,8,549
12509,280,8,549
12519,280,8,549
12530,280,8,549
12540,280,8,549
12551,280,8,549
12561,280,8,545
12571,280,8,545
12581,280,8,545
12591,280,8,545
12601,280,8,545
12612,280,8,544
12622,280,8,542
12632,280,8,542
12642,280,8,542
12652,280,8,542
12662,280,8,542
12672,280,8,542
12682,280,8,542
12692,280,8,542
12702,280,8,542
12713,280,8,542
12723,280,8,542
12734,280,8,542
12744,280,8,542
12754,280,8,542
12765,280,8,542
12775,280,8,542
12785,280,8,542
12795,280,8,541
12805,280,8,541
12815,280,8,541
12826,280,8,541
12836,280,8,541
12846,280,8,541
12856,280,8,537
12866,280,8,537
12877,280,8,537
12887,280,8,537
12897,280,8,537
12908,280,8,537
12918,280,8,534
12928,280,8,534
12938,280,8,534
12948,280,8,534
12958,280,8,534
12969,280,8,534
12979,280,8,534
12989,280,8,534
13000,280,8,534
13010,280,8,534
13020,280,8,534
13031,280,8,534
13041,280,8,534
13051,280,8,534
13061,280,8,534
13071,280,8,534
13081,280,8,534
13091,280,8,534
13101,280,8,533
13112,280,8,533
13122,280,8,533
13132,280,8,533
13143,280,8,533
13153,280,8,533
13163,280,8,529
13173,280,8,529
13184,280,8,529
13194,280,8,529
13205,280,8,529
13215,280,8,526
13225,280,8,526
13236,280,8,526
13246,280,8,526
13256,280,8,526
13267,280,8,526
13277,280,8,526
13288,280,8,526
13298,280,8,526
13308,280,8,526
13318,280,8,526
13328,280,8,526
13338,280,8,526
13348,280,8,526
13358,280,8,526
13368,280,8,526
13378,280,8,526
13388,280,8,526
13398,280,8,525
13408,280,8,525
13419,280,8,525
13429,280,8,525
13440,280,8,525
13450,280,8,525
13460,280,8,521
13470,280,8,521
13481,280,8,521
13491,280,8,521
13502,280,8,521
13512,280,8,520
13523,280,8,518
13533,280,8,518
13544,280,8,518
13554,280,8,518
13565,280,8,518
13575,280,8,518
13586,280,8,518
13596,280,8,518
13607,280,8,518
13617,280,8,518
13628,280,8,518
13638,280,8,518
13649,280,8,518
13659,280,8,518
13670,280,8,518
13680,280,8,518
13691,280,8,518
13701,280,8,517
13712,280,8,517
13722,280,8,517
13733,280,8,517
13743,280,8,517
13754,280,8,517
13764,280,8,513
13775,280,8,513
13785,280,8,513
13795,280,8,513
13806,280,8,513
13816,280,8,510
13827,280,8,510
13837,280,8,510
13847,280,8,510
13858,280,8,510
13868,280,8,510
13878,280,8,510
13888,280,8,510
13898,280,8,510
13908,280,8,510
13919,280,8,510
13929,280,8,510
13939,280,8,510
13949,280,8,510
13960,280,8,510
13970,280,8,510
13981,280,8,510
13991,280,8,510
14002,280,8,509
14012,280,8,509
14023,280,8,509
14033,280,8,509
14044,280,8,509
14054,245,7,509
14065,280,8,505
14075,280,8,505
14085,280,8,505
14096,280,8,505
14106,280,8,505
14117,280,8,502
14127,280,8,502
14137,280,8,502
14147,280,8,502
14158,280,8,502
14168,280,8,502
14179,280,8,502
14189,280,8,502
14200,280,8,502
14210,280,8,502
14221,280,8,502
14231,280,8,502
14242,280,8,502
14252,280,8,502
14263,280,8,502
14273,280,8,502
14283,280,8,502
14293,280,8,501
14303,280,8,501
14313,280,8,501
14323,280,8,501
14334,280,8,501
14344,280,8,501
14354,280,8,501
14364,280,8,497
14375,280,8,497
14385,280,8,497
14395,280,8,497
14405,280,8,497
14416,280,8,494
14426,280,8,494
14437,280,8,494
14447,280,8,494
14457,280,8,494
14468,280,8,494
14478,280,8,494
14489,280,8,494
14499,280,8,494
14509,280,8,494
14519,280,8,494
14529,280,8,494
14539,280,8,494
14550,280,8,494
14560,280,8,494
14571,280,8,494
14581,280,8,494
14592,280,8,494
14602,280,8,493
14612,280,8,493
14622,280,8,493
14633,280,8,493
14643,280,8,493
14654,280,8,493
14664,280,8,489
14674,280,8,489
14684,280,8,489
14694,280,8,489
14705,280,8,489
14715,280,8,487
14725,280,8,486
14735,280,8,486
14745,280,8,486
14755,280,8,486
14765,280,8,486
